IPORateID,ServiceRateID,IPOID
10,9001,77191
20,9001,78968
30,9001,80764
40,9002,10035
50,9002,21174
60,9002,84778
70,9002,86559
80,9002,87072
90,9002,88279
100,9002,90841
110,9002,91407
120,9002,91536
130,9002,91986
140,9002,92238
150,9002,92537
160,9002,92889
170,9002,93354
180,9002,94160
190,9002,94515
200,9002,94727
210,9002,94728
220,9002,94988
230,9002,95084
240,9002,95613
250,9002,95996
260,9003,11880
270,9003,12372
280,9003,12676
290,9003,13164
300,9003,14330
310,9003,15169
320,9003,16010
330,9003,16033
340,9003,16225
350,9003,17834
360,9003,18111
370,9003,18454
380,9003,18813
390,9003,18998
400,9003,19203
410,9003,19474
420,9003,19772
430,9003,20140
440,9003,20237
450,9003,20434
460,9003,20558
470,9003,20629
480,9003,20651
490,9003,20671
500,9003,20847
510,9003,20851
520,9003,21063
530,9003,21174
540,9003,21185
550,9003,21282
560,9003,21407
570,9003,21408
580,9003,21435
590,9003,21437
600,9003,21524
610,9003,21649
620,9003,21714
630,9003,21759
640,9003,21777
650,9003,21784
660,9003,21786
670,9003,21787
680,9003,21814
690,9003,21902
700,9003,21911
710,9003,21960
720,9003,21965
730,9003,22066
740,9003,22115
750,9003,22116
760,9003,91986
770,9003,101193
780,9004,10222
790,9004,10396
800,9004,10401
810,9004,10572
820,9004,10687
830,9004,10695
840,9004,10711
850,9004,10755
860,9004,10757
870,9004,10785
880,9004,10786
890,9004,10859
900,9004,10860
910,9004,10998
920,9004,11000
930,9004,11001
940,9004,11145
950,9004,11146
960,9004,11323
970,9004,11327
980,9004,11413
990,9004,11458
1000,9004,11522
1010,9004,11535
1020,9004,11572
1030,9004,11767
1040,9004,11771
1050,9004,11942
1060,9004,11944
1070,9004,11949
1080,9004,11965
1090,9004,11967
1100,9004,11972
1110,9004,12009
1120,9004,12078
1130,9004,12079
1140,9004,12080
1150,9004,12371
1160,9004,12389
1170,9004,12390
1180,9004,12426
1190,9004,12552
1200,9004,12554
1210,9004,12555
1220,9004,12740
1230,9004,12767
1240,9004,12841
1250,9004,12843
1260,9004,12846
1270,9004,12856
1280,9004,12960
1290,9004,13041
1300,9004,13097
1310,9004,13350
1320,9004,13353
1330,9004,13354
1340,9004,13822
1350,9004,13833
1360,9004,13834
1370,9004,13844
1380,9004,13850
1390,9004,13998
1400,9004,14021
1410,9004,14022
1420,9004,14137
1430,9004,14298
1440,9004,14302
1450,9004,14303
1460,9004,14313
1470,9004,14639
1480,9004,14688
1490,9004,14689
1500,9004,14690
1510,9004,14691
1520,9004,14692
1530,9004,14757
1540,9004,14779
1550,9004,14845
1560,9004,14846
1570,9004,14847
1580,9004,14848
1590,9004,14857
1600,9004,14928
1610,9004,14929
1620,9004,14941
1630,9004,15034
1640,9004,15041
1650,9004,15045
1660,9004,15127
