TimeSheetID,WorkOrderID,EmployeeID,EntryTypeID,BillingTypeID,TimeTypeID,ServiceTypeID,IPOID,WorkDateTime,TimeWorkedHours,WorkPerformed
1,2524,105601,1,3007,4010,8010,10574,2019-07-09,8.75,Description 1
2,2524,105601,1,3007,4010,8020,10574,2019-07-10,9.25,Description 2
3,2524,105601,1,3007,4010,8030,10574,2019-07-11,3.00,Description 3
4,2524,105601,1,3007,4010,8040,10574,2019-07-12,3.50,Description 4
5,2524,105601,1,3007,4010,8050,10574,2019-07-15,6.50,Description 5
6,2524,105601,1,3007,4010,8060,10574,2019-07-16,7.50,Description 6
7,2524,105601,1,3007,4010,8070,10574,2019-07-17,7.00,Description 7
8,2524,105601,1,3007,4010,8080,10574,2019-07-18,4.50,Description 8
9,2524,105601,1,3007,4010,8000,10574,2019-07-22,6.25,Description 9
10,2524,105601,1,3007,4010,8010,10574,2019-07-23,8.50,Description 10
11,2524,105601,1,3007,4010,8020,10574,2019-07-24,4.50,Description 11
12,2524,105601,1,3007,4010,8030,10574,2019-07-25,4.50,Description 12
13,2627,105602,1,3007,4010,8010,10575,2019-07-01,4.25,Description 13
14,2627,105602,1,3007,4010,8020,10575,2019-07-02,4.25,Description 14
15,2627,105602,1,3007,4010,8030,10575,2019-07-03,4.25,Description 15
16,2627,105602,1,3007,4010,8040,10575,2019-07-08,4.25,Description 16
17,2627,105602,1,3007,4010,8050,10575,2019-07-09,4.25,Description 17
18,2627,105602,1,3007,4010,8060,10575,2019-07-10,4.25,Description 18
19,2627,105602,1,3007,4010,8070,10575,2019-07-11,4.25,Description 19
20,2627,105602,1,3007,4010,8080,10575,2019-07-12,4.25,Description 20
21,2627,105602,1,3007,4010,8000,10575,2019-07-15,4.25,Description 21
22,2627,105602,1,3007,4010,8010,10575,2019-07-16,4.25,Description 22
23,2627,105602,1,3007,4010,8020,10575,2019-07-17,4.25,Description 23
24,2627,105602,1,3007,4010,8030,10575,2019-07-18,1.00,Description 24
25,2627,105602,1,3007,4010,8040,10575,2019-07-22,4.25,Description 25
26,2627,105602,1,3007,4010,8050,10575,2019-07-23,1.25,Description 26
27,2595,105601,1,3007,4010,8000,10581,2019-07-24,.50,Description 27
28,2595,105601,1,3007,4010,8010,10581,2019-07-25,1.50,Description 28
29,2606,105601,1,3007,4010,8020,10581,2019-07-24,.25,Description 29
30,2606,105601,1,3007,4010,8030,10581,2019-07-25,.50,Description 30
31,2607,105601,1,3007,4010,8030,10581,2019-07-16,.50,Description 31
32,2607,105601,1,3007,4010,8040,10581,2019-07-23,.50,Description 32
33,2607,105601,1,3007,4010,8050,10581,2019-07-24,3.50,Description 33
34,2607,105601,1,3007,4010,8060,10581,2019-07-25,1.00,Description 34
35,2601,105600,1,3007,4010,8040,10593,2019-07-09,1.50,Description 35
36,2601,105601,1,3007,4010,8050,10593,2019-07-11,2.00,Description 36
37,2601,105601,1,3007,4010,8060,10593,2019-07-12,.25,Description 37
38,2601,105600,1,3007,4010,8070,10593,2019-07-19,.25,Description 38
39,2601,105601,1,3007,4010,8080,10593,2019-07-22,.25,Description 39
40,2601,105601,1,3007,4010,8000,10593,2019-07-24,.75,Description 40
41,2601,105601,1,3007,4010,8010,10593,2019-07-25,.25,Description 41
42,2627,105602,1,3007,4010,8060,10603,2019-07-24,3.50,Description 42
43,2627,105602,1,3007,4010,8070,10603,2019-07-25,4.25,Description 43
44,2627,105602,1,3007,4010,8080,10603,2019-07-26,4.25,Description 44
45,2627,105602,1,3007,4010,8000,10603,2019-07-29,4.25,Description 45
46,2627,105602,1,3007,4010,8010,10603,2019-07-30,3.25,Description 46
47,2627,105602,1,3007,4010,8020,10603,2019-07-31,3.25,Description 47
48,2617,105601,1,3007,4010,8040,10606,2019-07-18,3.00,Description 48
49,2617,105601,1,3007,4010,8050,10606,2019-07-22,1.25,Description 49
50,2617,105601,1,3007,4010,8060,10606,2019-07-23,1.00,Description 50
51,2617,105601,1,3007,4010,8070,10606,2019-07-25,2.25,Description 51
52,2590,105601,1,3007,4010,8020,10611,2019-07-18,1.00,Description 52
53,2627,105602,1,3007,4010,8030,10755,2019-08-01,4.25,Description 53
54,2627,105602,1,3007,4010,8040,10755,2019-08-02,1.25,Description 54
55,2627,105602,1,3007,4010,8050,10755,2019-08-05,4.25,Description 55
56,2627,105602,1,3007,4010,8060,10755,2019-08-06,4.25,Description 56
57,2627,105602,1,3007,4010,8070,10755,2019-08-07,4.25,Description 57
58,2627,105602,1,3007,4010,8080,10755,2019-08-08,4.25,Description 58
59,2651,105601,1,3007,4010,8000,10759,2019-08-07,7.25,Description 59
60,2651,105601,1,3007,4010,8010,10759,2019-08-08,4.50,Description 60
61,2595,105601,1,3007,4010,8020,10760,2019-08-08,.75,Description 61
62,2595,105600,1,3007,4010,8030,10760,2019-08-08,.25,Description 62
63,2606,105600,1,3007,4010,8040,10760,2019-08-02,.25,Description 63
64,2606,105601,1,3007,4010,8050,10760,2019-08-06,4.25,Description 64
65,2607,105600,1,3007,4010,8070,10760,2019-08-06,.25,Description 65
66,2524,105601,1,3007,4010,8040,11061,2019-07-16,.25,Description 66
67,2524,105601,1,3007,4010,8050,11061,2019-08-05,8.50,Description 67
68,2524,105601,1,3007,4010,8060,11061,2019-08-06,5.00,Description 68
69,2590,105601,1,3007,4010,8030,11062,2019-08-07,.50,Description 69
70,2590,105601,1,3007,4010,8040,11062,2019-08-08,2.00,Description 70
71,2590,105601,1,3007,4010,8050,11062,2019-08-12,.50,Description 71
72,2590,105601,1,3007,4010,8060,11062,2019-08-13,3.00,Description 72
73,2590,105601,1,3007,4010,8070,11062,2019-08-14,7.50,Description 73
74,2590,105601,1,3007,4010,8080,11062,2019-08-15,7.00,Description 74
75,2617,105601,1,3007,4010,8080,11063,2019-08-05,.25,Description 75
76,2617,105601,1,3007,4010,8000,11063,2019-08-06,1.00,Description 76
77,2617,105601,1,3007,4010,8010,11063,2019-08-07,.25,Description 77
78,2617,105601,1,3007,4010,8020,11063,2019-08-08,2.50,Description 78
79,2617,105600,1,3007,4010,8030,11063,2019-08-09,.75,Description 79
80,2617,105601,1,3007,4010,8040,11063,2019-08-12,.50,Description 80
81,2617,105601,1,3007,4010,8050,11063,2019-08-13,3.50,Description 81
82,2617,105601,1,3007,4010,8060,11063,2019-08-14,2.00,Description 82
83,2617,105600,1,3007,4010,8070,11063,2019-08-14,.25,Description 83
84,2595,105601,1,3007,4010,8040,11066,2019-08-12,4.00,Description 84
85,2595,105601,1,3007,4010,8050,11066,2019-08-13,3.00,Description 85
86,2595,105601,1,3007,4010,8060,11066,2019-08-20,5.00,Description 86
87,2595,105601,1,3007,4010,8070,11066,2019-08-21,5.00,Description 87
88,2595,105601,1,3007,4010,8080,11066,2019-08-22,4.00,Description 88
89,2595,105601,1,3007,4010,8000,11066,2019-08-23,5.50,Description 89
90,2601,105601,1,3007,4010,8020,11066,2019-08-15,1.50,Description 90
91,2601,105601,1,3007,4010,8030,11066,2019-08-21,3.00,Description 91
92,2606,105601,1,3007,4010,8060,11066,2019-08-20,2.00,Description 92
93,2606,105601,1,3007,4010,8070,11066,2019-08-21,1.00,Description 93
94,2606,105601,1,3007,4010,8080,11066,2019-08-22,6.00,Description 94
95,2638,105602,1,3007,4005,8030,11093,2019-08-15,4.25,Description 95
96,2638,105602,1,3007,4006,8040,11093,2019-08-16,4.25,Description 96
97,2638,105602,1,3007,4007,8050,11093,2019-08-21,4.25,Description 97
98,2638,105602,1,3007,4008,8060,11093,2019-08-22,4.25,Description 98
99,2638,105602,1,3007,4009,8070,11093,2019-08-23,4.25,Description 99
100,2638,105602,1,3007,4005,8080,11093,2019-08-26,4.25,Description 100
101,2636,105600,1,3007,4010,8040,11097,2019-08-07,.50,Description 101
102,2636,105600,1,3007,4010,8050,11097,2019-08-08,.25,Description 102
103,2636,105603,1,3007,4010,8060,11097,2019-08-26,1.00,Description 103
104,2636,105603,1,3007,4010,8070,11097,2019-08-27,9.50,Description 104
105,2601,105601,1,3007,4010,8040,11115,2019-08-27,.50,Description 105
106,2606,105600,1,3007,4010,8000,11115,2019-08-23,.50,Description 106
107,2606,105600,1,3007,4010,8010,11115,2019-08-25,.25,Description 107
108,2606,105601,1,3007,4010,8020,11115,2019-08-26,8.50,Description 108
109,2606,105601,1,3007,4010,8030,11115,2019-08-27,3.00,Description 109
110,2607,105601,1,3007,4010,8080,11115,2019-08-26,.50,Description 110
111,2636,105603,1,3007,4010,8080,11168,2019-07-01,.75,Description 111
112,2636,105603,1,3007,4010,8000,11168,2019-07-31,5.50,Description 112
113,2636,105603,1,3007,4010,8010,11168,2019-08-07,9.00,Description 113
114,2636,105600,1,3007,4010,8020,11168,2019-08-08,.50,Description 114
115,2636,105600,1,3007,4010,8030,11168,2019-08-09,.50,Description 115
116,2636,105600,1,3007,4010,8040,11168,2019-08-13,.25,Description 116
117,2636,105600,1,3007,4010,8050,11168,2019-08-16,1.00,Description 117
118,2636,105600,1,3007,4010,8060,11168,2019-08-23,1.00,Description 118
119,2636,105600,5,3007,4010,8050,11168,2019-08-28,-.15,Description 119
120,2636,105603,1,3007,4010,8070,11168,2019-08-28,5.00,Description 120
121,2595,105601,1,3007,4010,8010,11169,2019-08-29,1.00,Description 121
122,2606,105601,1,3007,4010,8040,11169,2019-08-28,5.00,Description 122
123,2606,105601,1,3007,4010,8050,11169,2019-08-29,6.00,Description 123
124,2590,105601,1,3007,4010,8000,11170,2019-08-26,1.00,Description 124
125,2590,105603,1,3007,4010,8010,11170,2019-08-26,.25,Description 125
126,2590,105601,1,3007,4010,8020,11170,2019-08-27,6.25,Description 126
127,2590,105601,1,3007,4010,8030,11170,2019-08-28,5.00,Description 127
128,2590,105601,1,3007,4010,8040,11170,2019-08-29,3.00,Description 128
129,2652,105600,1,3007,4010,8020,11171,2019-08-13,.50,Description 129
130,2652,105602,1,3007,4010,8030,11171,2019-08-13,2.75,Description 130
131,2652,105602,1,3007,4010,8040,11171,2019-08-14,4.25,Description 131
132,2652,105602,1,3007,4010,8050,11171,2019-08-20,3.00,Description 132
133,2649,105601,1,3007,4010,8080,11172,2019-07-11,5.00,Description 133
134,2649,105601,1,3007,4010,8000,11172,2019-07-12,6.00,Description 134
135,2649,105600,1,3007,4010,8010,11172,2019-07-12,.50,Description 135
136,2649,105601,1,3007,4010,8020,11172,2019-07-15,3.00,Description 136
137,2649,105601,1,3007,4010,8030,11172,2019-07-16,1.50,Description 137
138,2649,105600,1,3007,4010,8040,11172,2019-07-16,1.25,Description 138
139,2649,105601,1,3007,4010,8050,11172,2019-07-17,.50,Description 139
140,2649,105601,1,3007,4010,8060,11172,2019-07-18,1.50,Description 140
141,2649,105601,1,3007,4010,8070,11172,2019-07-22,.50,Description 141
142,2649,105600,1,3007,4010,8080,11172,2019-08-15,.25,Description 142
143,2642,105601,2,3000,4010,8081,,2019-07-01,10.00,Description 143
144,2642,105601,2,3000,4010,8081,,2019-07-02,10.00,Description 144
145,2642,105601,2,3000,4010,8081,,2019-07-03,10.00,Description 145
146,2642,105601,2,3000,4010,8081,,2019-07-04,2.00,Description 146
