WorkOrderID,EmployeeID,CustomerID,PriorityID,StatusID,SubmittedDate,WorkOrderDescription,StartDate,DueDate,ClosedDate,Notes,ProjectName
1698,105600,4038,1,5,1/1/2019,To track Family Medical Leave of Absence,1/1/2019,1/1/2020,2/3/2020,"Continuous WO, do not close",FMLA
1699,105600,4038,1,5,1/1/2016, to track meetings under P&M,1/1/2016,12/31/2016,12/31/2016,WO to track meetings for P&M.,Meetings (P&M) FY16
1700,105600,4038,1,5,1/1/2016, to track Annual Time,1/1/2016,12/31/2016,12/31/2016,WO to track Annual Time.,Annual Time FY16
1701,105600,4038,1,5,1/1/2016, to track Comp Time,1/1/2016,12/31/2016,12/31/2016,WO to track Comp Time.,Comp Time FY16
1702,105600,4038,1,5,1/1/2016, to track Holiday Time,1/1/2016,12/31/2016,12/31/2016,WO to track Holiday Time.,Holiday Time FY16
1703,105600,4038,1,5,1/1/2016, to track Leave Without Pay,1/1/2016,12/31/2016,12/31/2016,WO to track Leave Without Pay.,Leave Without Pay FY16
1704,105600,4038,1,5,1/1/2016, to track Sick Time,1/1/2016,12/31/2016,12/31/2016,WO to track Sick Time.,Sick Time FY16
1705,105600,4038,1,5,1/1/2017, to track meetings under P&M,1/1/2017,6/30/2017,6/30/2017,WO to track meetings for P&M.,Meetings (P&M) FY17
1706,105600,4038,1,5,1/1/2017, to track Annual Time,1/1/2017,6/30/2017,6/30/2017,WO to track Annual Time.,Annual Time FY17
1707,105600,4038,1,5,1/1/2017, to track Comp Time,1/1/2017,6/30/2017,6/30/2017,WO to track Comp Time.,Comp Time FY17
1708,105600,4038,1,5,1/1/2017, to track Holiday Time,1/1/2017,6/30/2017,6/30/2017,WO to track Holiday Time.,Holiday Time FY17
1709,105600,4038,1,5,1/1/2017, to track Leave Without Pay,1/1/2017,6/30/2017,6/30/2017,WO to track Leave Without Pay.,Leave Without Pay FY17
1710,105600,4038,1,5,1/1/2017, to track Sick Time,1/1/2017,6/30/2017,6/30/2017,WO to track Sick Time.,Sick Time FY17
1711,105600,4038,1,5,7/1/2017, to track meetings under P&M,7/1/2017,6/30/2018,6/30/2018,WO to track meetings for P&M.,Meetings (P&M) FY18
1712,105600,4038,1,5,7/1/2017, to track Annual Time,7/1/2017,6/30/2018,6/30/2018,WO to track Annual Time.,Annual Time FY18
1713,105600,4038,1,5,7/1/2017, to track Comp Time,7/1/2017,6/30/2018,6/30/2018,WO to track Comp Time.,Comp Time FY18
